#OTU ID	m161004_131820_42237_c101086072550000001823265803091794_s1_p0	m161004_173440_42237_c101086072550000001823265803091795_s1_p0	m161004_215100_42237_c101086072550000001823265803091796_s1_p0	m161005_020720_42237_c101086072550000001823265803091797_s1_p0	m161005_062341_42237_c101086352550000001823265803091720_s1_p0	m161005_104000_42237_c101086352550000001823265803091721_s1_p0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/118788/ccs	1	1	1	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/118827/ccs	2	0	0	1	1	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/118959/ccs	2	0	1	1	1	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/119022/ccs	7	6	4	3	3	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/119044/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/119100/ccs	21	7	7	2	5	3
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/119150/ccs	1	1	0	0	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/119163/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/119321/ccs	88	25	28	24	21	26
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/119375/ccs	1	2	1	2	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/119377/ccs	2	1	1	0	3	4
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/119390/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/119487/ccs	163	32	38	33	40	53
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/119661/ccs	29	3	7	8	9	5
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/119824/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/119874/ccs	22	11	2	5	3	4
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/119947/ccs	25	10	4	16	13	4
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/120004/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/120036/ccs	2	0	0	1	1	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/120056/ccs	2	0	0	1	0	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/120061/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/120107/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/120208/ccs	4	1	1	0	1	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/120268/ccs	2	0	0	0	0	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/120285/ccs	5	3	2	3	0	6
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/120330/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/120392/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/120543/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/120550/ccs	1	1	3	3	2	3
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/120555/ccs	16	11	9	9	7	11
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/120566/ccs	13	4	6	5	8	5
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/120574/ccs	3	2	0	0	2	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/120595/ccs	5	3	0	4	3	5
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/120622/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/120695/ccs	9	3	1	3	1	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/120747/ccs	73	18	16	17	15	12
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/12078/ccs	2	2	5	2	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/120793/ccs	5	1	2	2	1	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/120839/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/120843/ccs	2	1	1	1	1	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/120850/ccs	1	1	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/120868/ccs	17	6	3	5	3	6
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/120900/ccs	52	14	13	35	12	13
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/120950/ccs	1	0	0	1	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/121026/ccs	1	1	1	1	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/121050/ccs	6	1	3	3	2	4
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/121203/ccs	33	6	9	13	14	6
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/121270/ccs	3	0	2	1	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/121313/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/121490/ccs	1	1	0	1	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/121531/ccs	2	1	2	3	1	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/121736/ccs	1	0	0	1	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/121768/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/121783/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/121939/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/121945/ccs	11	6	6	4	8	6
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/12195/ccs	1	1	0	0	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/122114/ccs	23	6	5	6	4	5
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/122190/ccs	38	15	10	13	12	21
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/122197/ccs	2	0	1	1	1	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/122214/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/122241/ccs	1	1	0	0	0	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/122359/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/122587/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/122745/ccs	8	3	0	0	3	5
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/122822/ccs	1	0	0	0	0	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/122839/ccs	4	1	0	1	0	2
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/122878/ccs	1	0	3	0	2	0
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/122898/ccs	2	2	3	0	1	1
m161004_131820_42237_c101086072550000001823265803091794_s1_p0/122910/ccs	2	1	0	2	0	0
